Keyword	Position	Review text	Reviewed at	Owner's answer	Profile name	Profile URL	Profile image URL	Rating	Reviews count	Photos count	Is local guide?
Masjid Salman ITB	11	A nice place and surrounded by horse riding activity and a lot of street food	2021-09-10 02:06:40 +00:00		Yudho Baskoro	https://www.google.com/maps/contrib/115810618465097222307?hl=en-MX&sa=X&ved=2ahUKEwjcp8fp2oz0AhXQU80KHUx8D7UQvvQBegQIARAu	https://lh3.googleusercontent.com/a-/AOh14GhZxpu9lWzv7haIOXEKEeMnIr7UDBUG_aDm7L-SBw=s40-c-c0x00000000-cc-rp-mo-ba3-br100	5	32	5	Yes
Masjid Salman ITB	12	Always lovely great place for sholat...	2021-10-27 02:06:40 +00:00		agung nocely	https://www.google.com/maps/contrib/118271563538020906216?hl=en-MX&sa=X&ved=2ahUKEwjcp8fp2oz0AhXQU80KHUx8D7UQvvQBegQIARA5	https://lh3.googleusercontent.com/a-/AOh14GjoF05wMk353moiludNSG5CeLwTMVJd1dZ8co12hk0=s40-c-c0x00000000-cc-rp-mo-ba3-br100	5	31	3	Yes
Masjid Salman ITB	13	Cozy and warm place for worship and take some rest	2019-11-10 02:06:40 +00:00		pendri anto	https://www.google.com/maps/contrib/101628541151130933679?hl=en-MX&sa=X&ved=2ahUKEwjcp8fp2oz0AhXQU80KHUx8D7UQvvQBegQIARBF	https://lh3.googleusercontent.com/a/AATXAJxuJRkkQpjubiZ59x-4YW5B9EMtZpDdt5pRa4c=s40-c-c0x00000000-cc-rp-mo-ba4-br100	5	100	457	Yes
Masjid Salman ITB	14	Cons= women toilets' cleanliness are still bad	2019-11-10 02:06:40 +00:00		Doge with an internet access	https://www.google.com/maps/contrib/116454142762213826262?hl=en-MX&sa=X&ved=2ahUKEwjcp8fp2oz0AhXQU80KHUx8D7UQvvQBegQIARBX	https://lh3.googleusercontent.com/a-/AOh14Gg9xRhL4kBaKISXs0gHfqrm-WE6OzuQUjTaHajpkQY=s40-c-c0x00000000-cc-rp-mo-ba3-br100	4	47	10	Yes
Masjid Salman ITB	15	Comfy place. Very clean.	2021-10-20 02:06:40 +00:00		Kurnia Widya	https://www.google.com/maps/contrib/105959710808979940589?hl=en-MX&sa=X&ved=2ahUKEwjcp8fp2oz0AhXQU80KHUx8D7UQvvQBegQIARBn	https://lh3.googleusercontent.com/a-/AOh14GjvLGiq0BJHSCYXjvqPPrEJcFif6WpQw2MOi5Pk=s40-c-c0x00000000-cc-rp-mo-ba3-br100	5	15	75	Yes
Masjid Salman ITB	16	This is the most favorite mosque in bandung. The facility are clean. The peoples around the mosque are very kind	2021-06-10 02:06:40 +00:00		rivaldi muhammad	https://www.google.com/maps/contrib/117708341006200045198?hl=en-MX&sa=X&ved=2ahUKEwjcp8fp2oz0AhXQU80KHUx8D7UQvvQBegQIARBz	https://lh3.googleusercontent.com/a-/AOh14Ghv1MmAuLO3u2kwLdF3Bb_CZ3rCR2djCJz48XoUcA=s40-c-c0x00000000-cc-rp-mo-ba3-br100	5	24	93	Yes
Masjid Salman ITB	17	Nice university mosque	2020-12-10 02:06:40 +00:00		Muhammad Fadli Muslimin	https://www.google.com/maps/contrib/117438804415396616618?hl=en-MX&sa=X&ved=2ahUKEwjcp8fp2oz0AhXQU80KHUx8D7UQvvQBegQIARB-	https://lh3.googleusercontent.com/a-/AOh14GgBoxn0be13kchwawmra2Stup8RWvqDdS6EmfS7Nw=s40-c-c0x00000000-cc-rp-mo-ba5-br100	5	304	388	Yes
Masjid Salman ITB	18	The greatest mosque in the great college	2021-11-04 02:06:40 +00:00		Andri AS Rosadi	https://www.google.com/maps/contrib/116232684959075723210?hl=en-MX&sa=X&ved=2ahUKEwjcp8fp2oz0AhXQU80KHUx8D7UQvvQBegUIARCOAQ	https://lh3.googleusercontent.com/a-/AOh14GhKG4aPg7ytfzPLeJOLbIQdhbtVd50cm_dL5cBjdA=s40-c-c0x00000000-cc-rp-mo-br100	5	5	0	No
Masjid Salman ITB	19	Great place w/ great vibes..	2019-11-10 02:06:40 +00:00		Hedda Elfrida	https://www.google.com/maps/contrib/103456225238531088784?hl=en-MX&sa=X&ved=2ahUKEwjcp8fp2oz0AhXQU80KHUx8D7UQvvQBegUIARCaAQ	https://lh3.googleusercontent.com/a-/AOh14GjHuhnH9ULfuLbBlKe08cb5FwJm90DYGwZqHSKKCyc=s40-c-c0x00000000-cc-rp-mo-ba4-br100	5	123	293	Yes
Masjid Salman ITB	20	try to strict to covid19 protocol	2021-10-10 02:06:40 +00:00		ideaProvider changeWarrior	https://www.google.com/maps/contrib/112102786198452626584?hl=en-MX&sa=X&ved=2ahUKEwjcp8fp2oz0AhXQU80KHUx8D7UQvvQBegUIARCwAQ	https://lh3.googleusercontent.com/a/AATXAJxZEtfVTfUQ02Kujd-ZvXowFXuOcumZAf2He7bf=s40-c-c0x00000000-cc-rp-mo-ba4-br100	5	132	62	Yes
Masjid Salman ITB	21	They have a decent park to spend an afternoon.. 👍	2021-07-10 02:06:50 +00:00		Chris Dlight	https://www.google.com/maps/contrib/100759002324128866707?hl=en-KH&sa=X&ved=2ahUKEwjT_Pfs2oz0AhVVEHAKHSY-AL4QvvQBegQIARAu	https://lh3.googleusercontent.com/a-/AOh14GhmtsCJyf0vzJXv9fMjtBFXVx59cLvFGXNgetu6=s40-c-c0x00000000-cc-rp-mo-ba4-br100	5	112	65	Yes
Masjid Salman ITB	22	One of the historical places about indonesian architectural mosque precedent	2019-11-10 02:06:50 +00:00		azhar azh	https://www.google.com/maps/contrib/105534597903630053501?hl=en-KH&sa=X&ved=2ahUKEwjT_Pfs2oz0AhVVEHAKHSY-AL4QvvQBegQIARA5	https://lh3.googleusercontent.com/a-/AOh14GjfKjaRrktktvphvd_l9osX8wFto8DYg41kA3GSlw=s40-c-c0x00000000-cc-rp-mo-ba5-br100	5	250	108	Yes
Masjid Salman ITB	23	It was a great place for all of you that wanna pray	2019-11-10 02:06:50 +00:00		Muhammad Fadhil Rizki Martha	https://www.google.com/maps/contrib/115788147525530873462?hl=en-KH&sa=X&ved=2ahUKEwjT_Pfs2oz0AhVVEHAKHSY-AL4QvvQBegQIARBH	https://lh3.googleusercontent.com/a-/AOh14Gjkx-TghOVP84pA9Ue3YqoU_WGbt9ySGwtybUC7VA=s40-c-c0x00000000-cc-rp-mo-br100	5	1	4	No
Masjid Salman ITB	24	One of the best masjid I've ever visited. So spacious yet never empty of people. Great management too.	2019-11-10 02:06:50 +00:00		airbud	https://www.google.com/maps/contrib/115005955120974159531?hl=en-KH&sa=X&ved=2ahUKEwjT_Pfs2oz0AhVVEHAKHSY-AL4QvvQBegQIARBW	https://lh3.googleusercontent.com/a-/AOh14Giuuv2OrWZmbydOS_Wnv26PbqDaz6Eo9q9BMrbyMg=s40-c-c0x00000000-cc-rp-mo-br100	5	7	5	No
Masjid Salman ITB	25	can't agree more. one of the most lovely great mosque in Bandung.	2021-06-10 02:06:50 +00:00		Yoghi Nuswantoro	https://www.google.com/maps/contrib/116815958197720406696?hl=en-KH&sa=X&ved=2ahUKEwjT_Pfs2oz0AhVVEHAKHSY-AL4QvvQBegQIARBl	https://lh3.googleusercontent.com/a-/AOh14Gh33ikXq63Hhp1l7TxEiamYnfzZ-P9lbfbuXZ9LBA=s40-c-c0x00000000-cc-rp-mo-ba4-br100	5	19	19	Yes
Masjid Salman ITB	26	Such a peaceful place....	2020-11-10 02:06:50 +00:00		AGHA	https://www.google.com/maps/contrib/107922261701467497646?hl=en-KH&sa=X&ved=2ahUKEwjT_Pfs2oz0AhVVEHAKHSY-AL4QvvQBegQIARBw	https://lh3.googleusercontent.com/a-/AOh14Gips2oZZNrtd5wDURyhF5VV9GtUqJem74zjj7POTQ=s40-c-c0x00000000-cc-rp-mo-ba5-br100	5	247	660	Yes
Masjid Salman ITB	27	Very cozy and beautiful place to pray in this Ramadhan. Enjoying hot tea here in the middle of the rain was perfect moment to remember.	2019-11-10 02:06:50 +00:00		Syauqinaa Sabiilaa	https://www.google.com/maps/contrib/104476976772902888480?hl=en-KH&sa=X&ved=2ahUKEwjT_Pfs2oz0AhVVEHAKHSY-AL4QvvQBegUIARCAAQ	https://lh3.googleusercontent.com/a-/AOh14Gi8Nefhs_SaZ3dBNLp1J1DfGgB8yYWD_ANBkj7qvQ=s40-c-c0x00000000-cc-rp-mo-ba2-br100	5	12	15	Yes
Masjid Salman ITB	28	The most comfy mosque. Not just a place to worship, but a place for self and knowledge development	2021-03-10 02:06:50 +00:00		Annisa S.A	https://www.google.com/maps/contrib/109907376988388936879?hl=en-KH&sa=X&ved=2ahUKEwjT_Pfs2oz0AhVVEHAKHSY-AL4QvvQBegUIARCNAQ	https://lh3.googleusercontent.com/a-/AOh14Ggbha7ic5wgDO7b191o6Z1l-jVbP2aI1xfpfum8cA=s40-c-c0x00000000-cc-rp-mo-br100	5	8	6	No
Masjid Salman ITB	29	A great place to pray w/ university environment... aah!! And the most crucial thing... they have an extremely clean rest room with lot of toilet!!	2021-02-10 02:06:50 +00:00		Muhammad Iqbal	https://www.google.com/maps/contrib/106061069509314580895?hl=en-KH&sa=X&ved=2ahUKEwjT_Pfs2oz0AhVVEHAKHSY-AL4QvvQBegUIARCYAQ	https://lh3.googleusercontent.com/a-/AOh14GiEMPM51BNbSj8dEFmnWoU1IpDjq7egRl5oT7Effw=s40-c-c0x00000000-cc-rp-mo-br100	5	6	0	No
Masjid Salman ITB	30	Masjid salman is the best mosque university in indonesia , i love it	2021-05-10 02:06:50 +00:00		Arizal kurniawan	https://www.google.com/maps/contrib/108381943511910166603?hl=en-KH&sa=X&ved=2ahUKEwjT_Pfs2oz0AhVVEHAKHSY-AL4QvvQBegUIARCjAQ	https://lh3.googleusercontent.com/a-/AOh14GjFv3f3HFV1YgOT-JYbPKnU6eazueMPPYiGSyoZHA=s40-c-c0x00000000-cc-rp-mo-ba2-br100	5	13	6	Yes
Masjid Salman ITB	31	bad people, bad ustadz, no information for mualaf on there which give them more religi experiences!!	2021-04-10 02:06:40 +00:00		Evy Herlina	https://www.google.com/maps/contrib/110606337921968597885?hl=en-KZ&sa=X&ved=2ahUKEwjywtnp2oz0AhVxk4sKHVyiBlUQvvQBegQIARAu	https://lh3.googleusercontent.com/a-/AOh14GjUdFdZ0BdFvbnt5IsvCTTJr51vgGcLwSl2L9Y7fg=s40-c-c0x00000000-cc-rp-mo-br100	1	8	0	No
Masjid Salman ITB	32	a comfortable and clean place for a campus mosque, with the theme of Friday worship lectures that don't make you sleepy, very good ustadzs often bring lecture here	2020-11-10 02:06:40 +00:00		dani Y	https://www.google.com/maps/contrib/117361588451589776616?hl=en-KZ&sa=X&ved=2ahUKEwjywtnp2oz0AhVxk4sKHVyiBlUQvvQBegQIARA5	https://lh3.googleusercontent.com/a-/AOh14GhQz9w9_zPOvYpS81vu_dB8rdLp-E5oUtNpzNNxVw=s40-c-c0x00000000-cc-rp-mo-br100	5	18	14	No
Masjid Salman ITB	33	Nice mosque for praying	2021-11-03 02:06:40 +00:00		SpecificSpy	https://www.google.com/maps/contrib/105407037724449459208?hl=en-KZ&sa=X&ved=2ahUKEwjywtnp2oz0AhVxk4sKHVyiBlUQvvQBegQIARBG	https://lh3.googleusercontent.com/a-/AOh14GihR5zMDEnaxXk-S-UBhbQv9EEvj9cgC0-IVnrKHQ=s40-c-c0x00000000-cc-rp-mo-br100	5	13	18	No
Masjid Salman ITB	34	Excellent for taking a prayer	2021-10-27 02:06:40 +00:00		Bayari Sentono Putro	https://www.google.com/maps/contrib/100475721684474117285?hl=en-KZ&sa=X&ved=2ahUKEwjywtnp2oz0AhVxk4sKHVyiBlUQvvQBegQIARBS	https://lh3.googleusercontent.com/a-/AOh14GiizPny3Ae6ctT7wKL34-Lj4Fmg3FedO9p3D5xSwA=s40-c-c0x00000000-cc-rp-mo-ba3-br100	5	46	21	Yes
Masjid Salman ITB	35	Comfortable Masjid in Bandung city. Much People pray here and almost fulled in praying time	2019-11-10 02:06:40 +00:00		Abdul Qadir Hassan	https://www.google.com/maps/contrib/115644951968031668681?hl=en-KZ&sa=X&ved=2ahUKEwjywtnp2oz0AhVxk4sKHVyiBlUQvvQBegQIARBe	https://lh3.googleusercontent.com/a-/AOh14GgBDjfiY6h4LNDym69WPTGa7CG_AtFt0aYcVL4w=s40-c-c0x00000000-cc-rp-mo-ba5-br100	5	201	520	Yes
Masjid Salman ITB	36	Good place for praying. The ambience is comfortable.	2021-04-10 02:06:40 +00:00		Deny Wahyu	https://www.google.com/maps/contrib/103397488111039878767?hl=en-KZ&sa=X&ved=2ahUKEwjywtnp2oz0AhVxk4sKHVyiBlUQvvQBegQIARBr	https://lh3.googleusercontent.com/a-/AOh14GguD6GACsqPhRrEiNpaNFQ9-NQl97k6nNXn8-SMNQ=s40-c-c0x00000000-cc-rp-mo-br100	5	3	0	No
Masjid Salman ITB	37	nice and peacefull place	2021-10-10 02:06:40 +00:00		Alka Shiryu	https://www.google.com/maps/contrib/107987343168651043946?hl=en-KZ&sa=X&ved=2ahUKEwjywtnp2oz0AhVxk4sKHVyiBlUQvvQBegQIARB2	https://lh3.googleusercontent.com/a/AATXAJw6fWQko88TsvIibF1hy3499_zDPWAxRBWWGSA=s40-c-c0x00000000-cc-rp-mo-br100	5	1	0	No
Masjid Salman ITB	38	Feels warm and peace while pray in here	2021-07-10 02:06:40 +00:00		Moh. Afri Kusma Septian F.	https://www.google.com/maps/contrib/109852722841262187764?hl=en-KZ&sa=X&ved=2ahUKEwjywtnp2oz0AhVxk4sKHVyiBlUQvvQBegUIARCBAQ	https://lh3.googleusercontent.com/a-/AOh14GjkpzZIWPEqFnlv5dbgKl_HWu5GhZVTzMsIVt-F=s40-c-c0x00000000-cc-rp-mo-br100	5	4	0	No
Masjid Salman ITB	39	The best prokesnya	2021-09-10 02:06:40 +00:00		Sri Mulia Rafik	https://www.google.com/maps/contrib/117235321346060224455?hl=en-KZ&sa=X&ved=2ahUKEwjywtnp2oz0AhVxk4sKHVyiBlUQvvQBegUIARCMAQ	https://lh3.googleusercontent.com/a-/AOh14GivFTHfNYovbXeTz0Uo6gGUaWzjtKwhmijkYfjCyg=s40-c-c0x00000000-cc-rp-mo-br100	5	1	0	No
Masjid Salman ITB	40	The nice place for pray. When you feel starving you can eat in the cozy cafeteria inside. Healthy and adordable.	2020-11-10 02:06:40 +00:00		Diah Suminarsari	https://www.google.com/maps/contrib/112240568315280221677?hl=en-KZ&sa=X&ved=2ahUKEwjywtnp2oz0AhVxk4sKHVyiBlUQvvQBegUIARCXAQ	https://lh3.googleusercontent.com/a-/AOh14GjRlbIg6gpE2jt5KVBGA3q_3KqcoWYmfOAuI8hxjw=s40-c-c0x00000000-cc-rp-mo-ba4-br100	5	130	87	Yes
Masjid Salman ITB	41	Remember my old times here. So solemn and peaceful, good equipment. But you have to bring praying set during pandemic	2020-11-10 02:06:44 +00:00		Lita Ichsan	https://www.google.com/maps/contrib/116768156239458141743?hl=en-ID&sa=X&ved=2ahUKEwj25K3r2oz0AhVIaCsKHcgkDLoQvvQBegQIARAu	https://lh3.googleusercontent.com/a-/AOh14GhKK5fwQZt0zAZ2tyZQMuYiMFZWbp92XqNQ30_H=s40-c-c0x00000000-cc-rp-mo-ba3-br100	5	45	70	Yes
Masjid Salman ITB	42	Iconic building of Ganesha street. Thisbuilding attaches to ITB complex as one of the most respected campus in Indonesia. Functioned as a mosque...	2020-11-10 02:06:44 +00:00		derry apriansyah	https://www.google.com/maps/contrib/113067898016595483553?hl=en-ID&sa=X&ved=2ahUKEwj25K3r2oz0AhVIaCsKHcgkDLoQvvQBegQIARA5	https://lh3.googleusercontent.com/a-/AOh14GhxzrO2bdq0T7BHstTHKY2fsS0ELilNKt6vO-cu2g=s40-c-c0x00000000-cc-rp-mo-ba2-br100	5	8	5	Yes
Masjid Salman ITB	43	A historical and the most beautiful masjid in Bandung with its non-conservative architecture.	2021-02-10 02:06:44 +00:00		Ismail Ali Harahap	https://www.google.com/maps/contrib/104377668237579082838?hl=en-ID&sa=X&ved=2ahUKEwj25K3r2oz0AhVIaCsKHcgkDLoQvvQBegQIARBE	https://lh3.googleusercontent.com/a-/AOh14Gj9soHRQxr5xazqarNKoUVuLWkzFfkGliRMgId6HA=s40-c-c0x00000000-cc-rp-mo-ba3-br100	5	17	140	Yes
Masjid Salman ITB	44	The specialty of this mosque are the floor,  sky, and walls made of wood so that it feels warm inside even though the temperature is quite cool and cold outside besides that, the ablution (wudhu) place are clean, and is available a lot.	2019-11-10 02:06:44 +00:00		Rengga Arnalis Renjani	https://www.google.com/maps/contrib/111983573696978794898?hl=en-ID&sa=X&ved=2ahUKEwj25K3r2oz0AhVIaCsKHcgkDLoQvvQBegQIARBP	https://lh3.googleusercontent.com/a-/AOh14GiWlEJQ52opc90O5osOrBLiDOly8n2we5u1pmRjsQ=s40-c-c0x00000000-cc-rp-mo-ba5-br100	5	103	604	Yes
Masjid Salman ITB	45	The officers who serve the storage of sandals and shoes forced visitors to leave their things.	2021-06-10 02:06:44 +00:00		Ubed2_ Channel	https://www.google.com/maps/contrib/117190029341954755004?hl=en-ID&sa=X&ved=2ahUKEwj25K3r2oz0AhVIaCsKHcgkDLoQvvQBegQIARBe	https://lh3.googleusercontent.com/a-/AOh14GgjQ-BCUa0ZV03dC54ptCMK6xcStirkG1JiJhLOAQ=s40-c-c0x00000000-cc-rp-mo-ba3-br100	4	17	82	Yes
Masjid Salman ITB	46	Randomly visit this place while travelling. You can refill your tumbler, no need to buy a mineral water while you here.	2021-04-10 02:06:44 +00:00		Monica Wulandari	https://www.google.com/maps/contrib/117805196037118643535?hl=en-ID&sa=X&ved=2ahUKEwj25K3r2oz0AhVIaCsKHcgkDLoQvvQBegQIARBp	https://lh3.googleusercontent.com/a/AATXAJzPoAn-u7GyhMSASrIRSwdv1T0YTUPBH3hZ_j5-=s40-c-c0x00000000-cc-rp-mo-ba2-br100	4	16	5	Yes
Masjid Salman ITB	47	Great Modern Bandung's Mosque	2019-11-10 02:06:44 +00:00		si bahrun tea	https://www.google.com/maps/contrib/113417022264673658453?hl=en-ID&sa=X&ved=2ahUKEwj25K3r2oz0AhVIaCsKHcgkDLoQvvQBegQIARB0	https://lh3.googleusercontent.com/a-/AOh14Gh4KMwEvLQ-HgxNpHO8HUzOF1LZJudaYRbn1YuWQQ=s40-c-c0x00000000-cc-rp-mo-ba3-br100	5	32	146	Yes
Masjid Salman ITB	48	a place that soothes the soul	2021-10-10 02:06:44 +00:00		Al Sa	https://www.google.com/maps/contrib/114512334655121744381?hl=en-ID&sa=X&ved=2ahUKEwj25K3r2oz0AhVIaCsKHcgkDLoQvvQBegUIARCDAQ	https://lh3.googleusercontent.com/a/AATXAJwTOAvOw-XnUu1mqbm77QsJfDU3PJ6IQcGtRSVV=s40-c-c0x00000000-cc-rp-mo-br100	5	4	1	No
Masjid Salman ITB	49	Beautiful mosque with extraordinary construction. This mosque is among the first to adapt waffle roof construction which can make It's interior strong enough without additional pillar. This mosque also well know as home base for Student Islamic movement and the pioneer of islamic mentorship system in Indonesia.	2017-11-10 02:06:44 +00:00		Ardian Perdana Putra	https://www.google.com/maps/contrib/110806142642767342437?hl=en-ID&sa=X&ved=2ahUKEwj25K3r2oz0AhVIaCsKHcgkDLoQvvQBegUIARCOAQ	https://lh3.googleusercontent.com/a-/AOh14GjLel_BfqexqfNjpbG3zD4VRC187oySxJPaql5PCu0=s40-c-c0x00000000-cc-rp-mo-ba5-br100	5	269	1083	Yes
Masjid Salman ITB	50	memorable mosque, I leave a piece of my heart here. always reminds me of my undergraduate years of atudy	2020-11-10 02:06:44 +00:00		Yuyun Yuniar	https://www.google.com/maps/contrib/113323359836002039678?hl=en-ID&sa=X&ved=2ahUKEwj25K3r2oz0AhVIaCsKHcgkDLoQvvQBegUIARCbAQ	https://lh3.googleusercontent.com/a-/AOh14Ghh13BeIfMjfi-taQWsT10WDlyzLOJ1k9xTUYr39ww=s40-c-c0x00000000-cc-rp-mo-br100	5	47	509	No
Masjid Salman ITB	51	Good place	2021-10-27 02:06:43 +00:00		Anggi Ilfa	https://www.google.com/maps/contrib/107577791390949886257?hl=en-IN&sa=X&ved=2ahUKEwjr74Dr2oz0AhVuwjgGHavfB4gQvvQBegQIARAu	https://lh3.googleusercontent.com/a-/AOh14GjwDSzgDnUAFHc7YBEFbJpHMc2BW6rf7kL-5EPuqg=s40-c-c0x00000000-cc-rp-mo-ba3-br100	5	31	16	Yes
Masjid Salman ITB	52	Great place	2021-10-13 02:06:43 +00:00		Luhur Pambudi	https://www.google.com/maps/contrib/111090751703539808069?hl=en-IN&sa=X&ved=2ahUKEwjr74Dr2oz0AhVuwjgGHavfB4gQvvQBegQIARA6	https://lh3.googleusercontent.com/a-/AOh14GgwUfqcaSsffyh_lBUNa4AU-oXgYBhViRqwD9UM=s40-c-c0x00000000-cc-rp-mo-ba3-br100	5	31	22	Yes
Masjid Salman ITB	53	Best place to do the itikaf, in ramadhan there is a free playground located in front of the garden. I really miss this masjid.	2018-11-10 02:06:43 +00:00		Ummu Maryam	https://www.google.com/maps/contrib/109146083352186776164?hl=en-IN&sa=X&ved=2ahUKEwjr74Dr2oz0AhVuwjgGHavfB4gQvvQBegQIARBF	https://lh3.googleusercontent.com/a-/AOh14GjMvHqfkA5kW0GH8pl9-QlrF083yXM_j1YZjcwiU5Q=s40-c-c0x00000000-cc-rp-mo-ba4-br100	5	80	257	Yes
